"","RR.Resp","DET.Resp","NRLINE.Resp","maxL.Resp","L.Resp","ENTR.Resp","rENTR.Resp","LAM.Resp","TT.Resp","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","condition","group1","group2"
"11",3.50810815898203,80.507413567992,23313,23,3.86157937631365,1.82288020775555,0.608492362234018,89.3598755164458,5.06713995943205,0.307493667748385,89.8469387755102,1633,19,4.31353337415799,1.9921103979266,0.689222897533642,94.6173469387755,6.36738197424893,"SelfPaced","G3","G1"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G3","G1"
"13",4.63998204437386,90.4929426925872,25849,20,5.73194320863476,2.00965878359444,0.682526891477089,96.4814237987919,32.7602654500207,0.0634012402276843,63.1695196024296,406,8,2.81773399014778,1.17669210747671,0.60470012351185,91.882937603534,5.4025974025974,"Synchronous","G4","G2"
"14",3.34152615473695,93.8020967412628,27794,17,3.80186371159243,1.71519991569555,0.618627603126783,99.7851772287863,17.2037037037037,0.0579996816281771,79.8602287166455,316,20,3.97784810126582,1.82929911642693,0.713191124458434,93.710292249047,5.65134099616858,"TurnTaking","G4","G2"
"15",3.77086734449884,81.4898625685914,26854,23,3.66094436583004,1.74809967649521,0.58353000764696,85.9791780640241,4.10816269951285,0.108757234613698,74.9819494584838,715,10,2.9048951048951,1.30316491882303,0.59309591393835,90.9747292418773,4.56521739130435,"SelfPaced","G4","G2"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G4","G2"
"17",4.37140455272224,87.20025356854,40976,27,3.89413315111285,1.85258320568476,0.575537332435188,90.6906463811835,4.53683807649198,0.169260749538518,86.4813861725853,1339,14,3.7647498132935,1.73357462027297,0.675870895941837,91.7481557728598,5.31082423038729,"Synchronous","G10","G4"
"18",3.87369818513806,88.9061653203954,41053,22,3.35666090176114,1.59841258459476,0.525012581542999,93.45273426411,3.90131437190261,0.0276141749913935,79.5353982300885,228,8,3.15350877192982,1.45166539821466,0.746008441818036,88.3849557522124,3.64840182648402,"TurnTaking","G10","G4"
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SelfPaced","G10","G4"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G10","G4"
"21",3.47755525901698,70.8192000655852,42432,20,3.25732937405732,1.54085600378585,0.523310557524971,79.5948064724388,3.6845825426945,5.27455552212945,96.5527824055991,21696,256,11.1656065634218,2.63860026377591,0.476850630007376,98.1602085309568,19.4874188953948,"Synchronous","G5","G8"
"22",3.16669461193291,83.7902318253432,44567,22,3.34130634774609,1.58305055753187,0.519966789509233,92.8404231375197,4.18039474017583,6.40360110587856,97.9379784901052,26746,205,11.1539295595603,2.8908509439603,0.574671825621119,98.9885228033775,28.5966426403642,"TurnTaking","G5","G8"
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SelfPaced","G5","G8"
